text,norm,loc,per,org
1 декабря 2017 В г. Салавате (Республика Башкортостан) введен в промышленную эксплуатацию крупнейший в России завод по производству акриловой кислоты и бутилакрилата ООО «Газпром нефтехим Салават».,1 декабрь 2017 в г . салават ( республика башкортостан ) ввести в промышленный эксплуатация крупный в россия завод по производство акриловый кислота и бутилакрилат ооо « газпром нефтехим салават » .,Республика Башкортостан Россия Салават,,ООО «Газпром нефтехим Салават
"13 марта 2018 «Газпром» установил абсолютный суточный рекорд поставок газа в дальнее зарубежье: 713,4 млн куб. м. газа.","13 март 2018 « газпром » установить абсолютный суточный рекорд поставка газ в дальний зарубежье : 713,4 млн куб . м . газ .",,,Газпром
5 сентября 2018 Началось строительство газопровода «Северный поток — 2».,5 сентябрь 2018 начаться строительство газопровод « северный поток — 2 » .,,,
19 ноября 2018 Завершена морская укладка газопровода «Турецкий поток».,19 ноябрь 2018 завершить морской укладка газопровод « турецкий поток » .,,,
"5 декабря 2018 Введен в эксплуатацию третий, финальный газовый промысел на Бованенковском месторождении. Мощность месторождения выведена на проектный уровень — 115 млрд куб. м газа в год.","5 декабрь 2018 ввести в эксплуатация третий , финальный газовый промысел на бованенковский месторождение . мощность месторождение вывести на проектный уровень — 115 млрд куб . м газ в год .",Бованенковском,,
5 декабря 2018 К Единой системе газоснабжения России подключен газопровод «Ухта — Торжок — 2».,5 декабрь 2018 к единый система газоснабжение россия подключить газопровод « ухта — торжок — 2 » .,Торжок Ухта Россия,,
19 декабря 2018 Введен в эксплуатацию энергоблок № 1 Грозненской теплоэлектростанции мощностью около 180 МВт.,19 декабрь 2018 ввести в эксплуатация энергоблок № 1 грозненский теплоэлектростанция мощность около 180 мвт .,Грозненская,,
"8 января 2019 Введены в эксплуатацию морской терминал по приему природного газа и плавучая регазификационная установка «Маршал Василевский» в Калининградской области, что позволило вывести энергобезопасность региона на принципиально новый уровень.","8 январь 2019 ввести в эксплуатация морской терминал по прием природный газ и плавучий регазификационный установка « маршал василевский » в калининградский область , что позволить вывести энергобезопасность регион на принципиально новый уровень .",Калининградская область,,
20 марта 2019 Началось полномасштабное освоение Харасавэйского месторождения на полуострове Ямал.,20 март 2019 начаться полномасштабный освоение харасавэйский месторождение на полуостров ямал .,Харасавэйское Ямал,,
17 мая 2019 «Газпром» открыл на шельфе Ямала два новых месторождения c суммарными запасами газа более 500 млрд куб. м — месторождение им. В. А. Динкова и Нярмейское месторождение.,17 май 2019 « газпром » открыть на шельф ямал два новый месторождение c суммарный запас газ более 500 млрд куб . м — месторождение они . в . а . динков и нярмейский месторождение .,Ямал Нярмейское,В. А. Динков,Газпром
28 июня 2019 Введен в эксплуатацию второй энергоблок Грозненской теплоэлектростанции мощностью около 180 МВт — финальный объект масштабной программы Группы «Газпром» по созданию новых мощностей в рамках договоров о предоставлении мощности.,28 июнь 2019 ввести в эксплуатация второй энергоблок грозненский теплоэлектростанция мощность около 180 мвт — финальный объект масштабный программа группа « газпром » по создание новый мощность в рамка договор о предоставление мощность .,Грозненская,,Группа «Газпром
"2 декабря 2019 Начались первые трубопроводные поставки российского газа в Китай по «восточному» маршруту — магистральному газопроводу «Сила Сибири». Газ в «Силу Сибири» начал поступать с Чаяндинского месторождения в Якутии, на базе которого в регионе с нуля создан новый центр газодобычи.","2 декабрь 2019 начаться первый трубопроводный поставка российский газ в китай по « восточный » маршрут — магистральный газопровод « сила сибирь » . газ в « сила сибирь » начать поступать с чаяндинской месторождение в якутия , на база который в регион с нуль создать новый центр газодобыча .",Китай Чаяндинское месторождение Якутия,,Сила Сибири
"8 января 2020 Запущен в работу газопровод «Турецкий поток», состоящий из двух ниток общей мощностью 31,5 млрд куб. м. Первая нитка предназначена для поставок газа в Турцию, вторая — в страны Южной и Юго-Восточной Европы.","8 январь 2020 запустить в работа газопровод « турецкий поток » , состоять из два нитка общий мощность 31,5 млрд куб . м . первый нитка предназначить для поставка газ в турция , второй — в страна южный и юго-восточный европа .",Турция Южная Юго-Восточная Европа,,
8 октября 2020 На Ленинградском месторождении Ямальского центра газодобычи открыта новая газовая залежь.,8 октябрь 2020 на ленинградский месторождение ямальский центр газодобыча открыть новый газовый залежь .,Ямальский центр,,
В ходе исследований продуктивности Ленинградского месторождения получен промышленный приток газа дебитом более 1 млн куб. м в сутки. Это рекордный показатель для месторождений на российском арктическом шельфе.,в ход исследование продуктивность ленинградский месторождение получить промышленный приток газ дебит более 1 млн куб . м в сутки . это рекордный показатель для месторождение на российский арктический шельф .,Ленинградское месторождение,,
